Modelo,FPR,TPR,Threshold
Regresión Logística,0.0882732715107407,0.17842323651452283,0.7578765854974147
Regresión Logística,0.0950815823453457,0.17842323651452283,0.7534246642886483
Regresión Logística,0.0950815823453457,0.1825726141078838,0.7534046790977683
Regresión Logística,0.09590327503228079,0.1825726141078838,0.7531267050907653
Regresión Logística,0.09590327503228079,0.18672199170124482,0.7531009353389082
Regresión Logística,0.09825096842352389,0.18672199170124482,0.7519418615787712
Regresión Logística,0.09825096842352389,0.1950207468879668,0.7517085104116119
Regresión Logística,0.100598661814767,0.1950207468879668,0.7496879212794128
Regresión Logística,0.100598661814767,0.1991701244813278,0.7496261931813156
Regresión Logística,0.1029463552060101,0.1991701244813278,0.7480294902378313
Regresión Logística,0.1029463552060101,0.2033195020746888,0.7479497059343486
